,timestamp,open,high,low,close,volume
0,1651759200000,2894.22,2904.0,2810.0,2830.42,67943.4241
1,1651762800000,2830.27,2831.12,2728.41,2742.85,145434.92
2,1651766400000,2742.85,2771.96,2728.72,2760.27,60420.2389
3,1651770000000,2760.28,2771.65,2742.0,2743.04,35818.9978
4,1651773600000,2743.03,2752.94,2704.26,2728.99,67646.4742
5,1651777200000,2729.0,2733.18,2683.0,2729.12,94463.7415
6,1651780800000,2729.12,2756.5,2714.08,2756.44,43580.2636
7,1651784400000,2756.44,2756.51,2735.46,2738.21,15953.5184
8,1651788000000,2738.22,2747.7,2732.99,2736.83,18752.7836
9,1651791600000,2736.83,2753.02,2735.24,2747.97,15286.5474
10,1651795200000,2747.96,2751.78,2724.0,2737.67,22173.2029
11,1651798800000,2737.67,2740.52,2725.26,2739.15,14735.336
12,1651802400000,2739.15,2758.18,2738.94,2746.6,12687.6274
13,1651806000000,2746.61,2752.4,2739.34,2746.39,11895.3794
14,1651809600000,2746.38,2746.98,2734.07,2746.97,11491.8255
15,1651813200000,2746.97,2752.25,2743.51,2751.63,8769.5431
16,1651816800000,2751.63,2755.91,2742.7,2743.17,9571.8786
17,1651820400000,2743.16,2746.53,2694.09,2730.2,36286.3394
18,1651824000000,2730.21,2744.88,2717.05,2719.52,21615.9857
19,1651827600000,2719.51,2738.44,2717.81,2732.69,11703.5409
20,1651831200000,2732.68,2735.34,2673.53,2688.91,30211.2179
21,1651834800000,2688.91,2706.65,2660.2,2676.04,47755.6805
22,1651838400000,2676.04,2724.0,2669.13,2683.13,51292.7697
23,1651842000000,2683.12,2700.91,2632.95,2664.64,89062.4587
24,1651845600000,2664.64,2705.51,2649.52,2697.18,107795.8972
25,1651849200000,2697.18,2727.47,2682.89,2688.25,51566.9089
26,1651852800000,2688.15,2713.54,2684.99,2710.81,48165.2002
27,1651856400000,2710.81,2712.65,2679.73,2685.24,37033.4914
28,1651860000000,2685.24,2694.67,2674.11,2683.84,22866.1639
29,1651863600000,2683.83,2702.92,2669.58,2689.31,25987.9119
30,1651867200000,2689.3,2708.0,2674.33,2705.69,13564.9305
31,1651870800000,2705.7,2706.66,2682.25,2689.24,6619.249
32,1651874400000,2689.02,2702.22,2685.14,2695.32,8888.5032
33,1651878000000,2695.31,2707.34,2691.77,2692.85,9708.2815
34,1651881600000,2692.86,2698.27,2683.43,2686.87,9650.1774
35,1651885200000,2686.86,2695.0,2677.43,2687.85,7636.1043
36,1651888800000,2687.85,2688.58,2679.78,2682.14,7060.5978
37,1651892400000,2682.15,2684.32,2665.05,2669.42,10022.6008
38,1651896000000,2669.43,2673.5,2655.31,2656.66,16858.1285
39,1651899600000,2656.65,2678.24,2653.33,2678.24,10080.9219
40,1651903200000,2678.23,2678.59,2659.47,2662.25,10646.0634
41,1651906800000,2662.26,2674.96,2656.32,2672.45,10829.5968
42,1651910400000,2672.45,2692.4,2667.58,2685.42,14807.36
43,1651914000000,2685.43,2694.87,2681.08,2684.0,8002.0799
44,1651917600000,2684.0,2695.65,2678.53,2691.64,10410.1887
45,1651921200000,2691.65,2698.55,2684.02,2688.9,13121.4008
46,1651924800000,2688.89,2690.76,2680.0,2688.35,7985.2763
47,1651928400000,2688.34,2689.38,2671.8,2674.7,21271.7185
48,1651932000000,2674.69,2690.75,2672.65,2688.64,16067.8655
49,1651935600000,2688.65,2704.36,2685.0,2692.67,13153.7044
50,1651939200000,2692.67,2695.82,2680.8,2690.85,9066.1285
51,1651942800000,2690.85,2691.52,2680.65,2682.32,7340.0733
52,1651946400000,2682.31,2700.8,2681.41,2687.77,10667.6951
53,1651950000000,2687.78,2690.4,2681.03,2682.94,4700.3341
54,1651953600000,2682.95,2683.12,2668.15,2674.09,11391.0238
55,1651957200000,2674.09,2677.42,2616.0,2621.74,28884.2871
56,1651960800000,2621.56,2636.0,2584.75,2602.95,69748.0661
57,1651964400000,2602.95,2655.0,2599.83,2635.34,41870.0602
58,1651968000000,2635.35,2642.0,2615.52,2618.29,22364.3496
59,1651971600000,2618.29,2626.29,2595.48,2595.49,37421.1716
60,1651975200000,2595.49,2601.73,2526.58,2549.5,108530.4133
61,1651978800000,2549.51,2553.29,2517.0,2545.08,67955.8806
62,1651982400000,2545.08,2558.55,2535.89,2536.17,30283.4799
63,1651986000000,2536.17,2550.0,2530.0,2537.24,19991.2844
64,1651989600000,2537.24,2568.9,2537.01,2560.75,23461.6226
65,1651993200000,2560.75,2569.21,2554.04,2556.6,16727.759
66,1651996800000,2556.6,2567.52,2550.08,2562.96,15319.5679
67,1652000400000,2562.95,2567.0,2548.2,2550.93,12914.3158
68,1652004000000,2550.93,2576.2,2546.08,2567.25,24427.9017
69,1652007600000,2567.26,2577.08,2563.32,2568.09,13928.4297
70,1652011200000,2567.97,2579.03,2551.97,2556.36,22546.1445
71,1652014800000,2556.35,2561.0,2520.01,2524.0,31430.2462
72,1652018400000,2523.99,2543.68,2512.85,2525.68,45867.2301
73,1652022000000,2525.69,2545.79,2515.63,2517.0,19263.771
74,1652025600000,2516.99,2536.41,2516.61,2521.4,17645.3908
75,1652029200000,2521.4,2535.0,2484.0,2529.48,109260.6532
76,1652032800000,2529.49,2571.78,2512.78,2562.08,38135.4982
77,1652036400000,2562.08,2571.69,2558.84,2562.01,12866.8142
78,1652040000000,2562.0,2564.69,2539.03,2540.64,18073.2449
79,1652043600000,2540.65,2557.36,2540.64,2555.57,9915.1973
